"","ID","Contributor","vowels","cons","Name","Macroarea","Latitude","Longitude","Glottocode","ISO639P3code","Family_Glottocode","Family_Name"
"1836","nort2697","236",9,24,"North Azerbaijani","Eurasia",40.9777,46.4737,"nort2697","azj","turk1311","Turkic"
"1837","nort2697","2296",15,24,"North Azerbaijani","Eurasia",40.9777,46.4737,"nort2697","azj","turk1311","Turkic"
"1838","nort2697","187",9,25,"North Azerbaijani","Eurasia",40.9777,46.4737,"nort2697","azj","turk1311","Turkic"
"1839","nort2699","1744",13,21,"Northwestern Kolami","Eurasia",20.1022,78.4934,"nort2699","kfb","drav1251","Dravidian"
"1840","nort2699","2445",10,16,"Northwestern Kolami","Eurasia",20.1022,78.4934,"nort2699","kfb","drav1251","Dravidian"
"1841","nort2722","2486",24,39,"Northern Qiang","Eurasia",32.2766,103.192,"nort2722","cng","sino1245","Sino-Tibetan"
"1842","nort2722","2429",34,39,"Northern Qiang","Eurasia",32.2766,103.192,"nort2722","cng","sino1245","Sino-Tibetan"
"1843","nort2735","309",7,20,"Northern Dong","Eurasia",26.9944,109.204,"nort2735","doc","taik1256","Tai-Kadai"
"1844","nort2740","2518",12,21,"Northern Thai","Eurasia",18.857495,100.20739,"nort2740","nod","taik1256","Tai-Kadai"
"1845","nort2741","2314",12,20,"Northeastern Thai","Eurasia",14.3253,102.986,"nort2741","tts","taik1256","Tai-Kadai"
"1846","nort2741","2414",12,20,"Northeastern Thai","Eurasia",14.3253,102.986,"nort2741","tts","taik1256","Tai-Kadai"
"1847","nort2741","2492",13,19,"Northeastern Thai","Eurasia",14.3253,102.986,"nort2741","tts","taik1256","Tai-Kadai"
"1848","nort2741","2422",12,20,"Northeastern Thai","Eurasia",14.3253,102.986,"nort2741","tts","taik1256","Tai-Kadai"
"1849","nort2741","2496",12,21,"Northeastern Thai","Eurasia",14.3253,102.986,"nort2741","tts","taik1256","Tai-Kadai"
"1850","nort2745","193",12,20,"Northern Yukaghir","Eurasia",65.3874,151.318,"nort2745","ykg","yuka1259","Yukaghir"
"1851","nort2745","2286",19,20,"Northern Yukaghir","Eurasia",65.3874,151.318,"nort2745","ykg","yuka1259","Yukaghir"
"1852","nort2745","634",6,20,"Northern Yukaghir","Eurasia",65.3874,151.318,"nort2745","ykg","yuka1259","Yukaghir"
"1853","nort2765","749",20,22,"Northern Kissi","Africa",8.7283,-10.4063,"nort2765","kqs","atla1278","Atlantic-Congo"
"1854","nort2774","801",12,19,"Northern Ngbandi","Africa",3.56357,21.85251,"nort2774","ngb","atla1278","Atlantic-Congo"
"1855","nort2775","719",23,30,"Northwest Gbaya","Africa",5.9503,15.2569,"nort2775","gya","atla1278","Atlantic-Congo"
"1856","nort2780","689",12,29,"Northern Dagara","Africa",11.0441,-3.0124,"nort2780","dgi","atla1278","Atlantic-Congo"
"1857","nort2784","797",33,21,"Northern Nuni","Africa",12.131,-2.98206,"nort2784","nuv","atla1278","Atlantic-Congo"
"1858","nort2787","835",19,16,"Northern Toussian","Africa",11.133,-4.88274,"nort2787","tsp","atla1278","Atlantic-Congo"
"1859","nort2795","1491",7,61,"Zimbabwean Ndebele","Africa",-20.2513,27.4096,"nort2795","nde","atla1278","Atlantic-Congo"
"1860","nort2810","725",17,19,"Northern Grebo","Africa",5.17103,-8.1409,"nort2810","gbo","atla1278","Atlantic-Congo"
"1861","nort2815","307",13,19,"Northeastern Dinka","Africa",9.27995,31.8392,"nort2815","dip","nilo1247","Nilotic"
"1862","nort2819","1512",16,21,"Northern Bobo Madaré","Africa",12.4182,-4.47538,"nort2819","bbo","mand1469","Mande"
"1863","nort2819","243",12,21,"Northern Bobo Madaré","Africa",12.4182,-4.47538,"nort2819","bbo","mand1469","Mande"
"1864","nort2819","681",20,20,"Northern Bobo Madaré","Africa",12.4182,-4.47538,"nort2819","bbo","mand1469","Mande"
"1865","nort2828","1689",6,21,"North Moluccan Malay","Papunesia",-0.86437,128.323,"nort2828","max","aust1307","Austronesian"
"1866","nort2845","1205",10,12,"North Marquesan","Papunesia",-8.89412,-140.108,"nort2845","mrq","aust1307","Austronesian"
"1867","nort2938","67",3,47,"Northern Haida","North America",54.004532,-132.079257,"nort2938","hdn","haid1248","Haida"
"1868","nort2938","353",3,46,"Northern Haida","North America",54.004532,-132.079257,"nort2938","hdn","haid1248","Haida"
"1869","nort2943","1077",3,24,"North Alaskan Inupiatun","North America",69.582,-143.77,"nort2943","esi","eski1264","Eskimo-Aleut"
"1870","nort2952","82",6,18,"Northeast Maidu","North America",40.4102,-120.645,"nort2952","nmu","maid1262","Maiduan"
"1871","nort2952","498",6,17,"Northeast Maidu","North America",40.4102,-120.645,"nort2952","nmu","maid1262","Maiduan"
"1872","nort2954","966",10,14,"Northern Paiute","North America",40.0799,-119.536,"nort2954","pao","utoa1244","Uto-Aztecan"
"1873","nort2957","486",4,16,"Northern Puebla Nahuatl","North America",20.1356,-97.9814,"nort2957","ncj","utoa1244","Uto-Aztecan"
"1874","nort2966","1135",10,29,"Northern Pomo","North America",39.1084,-123.209,"nort2966","pej","pomo1273","Pomoan"
"1875","nort2972","1904",12,20,"Northern Emberá","South America",7.12761,-77.574,"nort2972","emp","choc1280","Chocoan"
"1876","nort2976","2033",3,25,"North Bolivian Quechua","South America",-14.4014,-68.7894,"nort2976","qul","quec1387","Quechuan"
"1877","nort2979","2035",6,17,"Northern Conchucos Ancash Quechua","South America",-8.97356,-77.4146,"nort2979","qxn","quec1387","Quechuan"
"1878","nort2980","2037",3,19,"North Junín Quechua","South America",-11.2132,-75.8128,"nort2980","qvn","quec1387","Quechuan"
"1879","nort2980","2031",6,19,"North Junín Quechua","South America",-11.2132,-75.8128,"nort2980","qvn","quec1387","Quechuan"
"1880","nort2980","2030",6,19,"North Junín Quechua","South America",-11.2132,-75.8128,"nort2980","qvn","quec1387","Quechuan"
"1881","nort2984","1132",14,40,"Northern Pame","North America",22.0968,-99.6434,"nort2984","pmq","otom1299","Otomanguean"
"1882","nort3047","1624",8,29,"North Giziga","Africa",10.6755,14.219,"nort3047","gis","afro1255","Afro-Asiatic"
"1883","norw1258","2441",16,24,"Norwegian","Eurasia",59.92,10.71,"norw1258","nor","indo1319","Indo-European"
"1884","norw1259","499",24,22,"Norwegian Bokmål","Eurasia",61.112,8.886,"norw1259","nob","indo1319","Indo-European"
"1885","norw1259","159",21,27,"Norwegian Bokmål","Eurasia",61.112,8.886,"norw1259","nob","indo1319","Indo-European"
"1886","ntch1242","1453",9,21,"Ntcham","Africa",9.23971,0.599275,"ntch1242","bud","atla1278","Atlantic-Congo"
"1887","ntch1242","1264",22,21,"Ntcham","Africa",9.23971,0.599275,"ntch1242","bud","atla1278","Atlantic-Congo"
"1888","ntch1242","672",9,21,"Ntcham","Africa",9.23971,0.599275,"ntch1242","bud","atla1278","Atlantic-Congo"
"1889","ntom1248","1662",7,23,"Ntomba","Africa",-1.99062,18.265,"ntom1248","nto","atla1278","Atlantic-Congo"
"1890","nubi1253","967",5,30,"Nubi","Africa",-0.183215,34.7552,"nubi1253","kcn","afro1255","Afro-Asiatic"
"1891","nucl1235","362",6,30,"Eastern Armenian","Eurasia",40,45,"nucl1235","hye","indo1319","Indo-European"
